date,temp_max,temp_min,temp_mean,precip,wind_max,radiation,city,region
1994-01-01,23.6,18.5,20.9,1.4,10.5,13.46,Belo Horizonte,Sudeste
1994-01-02,23.7,18.8,20.8,14.7,10.0,11.51,Belo Horizonte,Sudeste
1994-01-03,21.6,18.3,19.9,29.8,8.7,7.41,Belo Horizonte,Sudeste
1994-01-04,19.9,17.4,18.6,34.2,9.3,5.19,Belo Horizonte,Sudeste
1994-01-05,21.3,16.7,19.0,3.5,15.5,11.83,Belo Horizonte,Sudeste
1994-01-06,24.7,17.7,20.7,4.5,11.3,18.42,Belo Horizonte,Sudeste
1994-01-07,25.1,17.8,20.9,13.0,9.5,17.71,Belo Horizonte,Sudeste
1994-01-08,25.2,18.5,21.2,9.8,14.1,19.31,Belo Horizonte,Sudeste
1994-01-09,26.7,18.3,21.3,4.8,18.3,17.4,Belo Horizonte,Sudeste
1994-01-10,25.3,18.9,21.2,27.2,17.4,14.27,Belo Horizonte,Sudeste
1994-01-11,24.6,19.3,21.2,15.7,12.5,12.46,Belo Horizonte,Sudeste
1994-01-12,23.7,18.2,20.6,6.4,8.6,9.77,Belo Horizonte,Sudeste
1994-01-13,25.3,18.4,21.7,0.3,12.9,21.51,Belo Horizonte,Sudeste
1994-01-14,24.3,18.3,20.9,8.2,12.3,15.12,Belo Horizonte,Sudeste
1994-01-15,25.1,18.1,20.5,20.7,13.0,14.82,Belo Horizonte,Sudeste
1994-01-16,24.8,18.0,20.9,12.6,12.1,19.11,Belo Horizonte,Sudeste
1994-01-17,27.2,16.4,21.8,1.4,10.6,24.16,Belo Horizonte,Sudeste
1994-01-18,26.8,18.4,22.1,6.1,9.8,20.98,Belo Horizonte,Sudeste
1994-01-19,27.4,19.1,22.8,5.8,8.6,19.7,Belo Horizonte,Sudeste
1994-01-20,27.8,19.4,22.8,1.4,7.4,19.01,Belo Horizonte,Sudeste
1994-01-21,26.8,19.6,22.6,9.1,9.3,19.74,Belo Horizonte,Sudeste
1994-01-22,26.7,18.5,22.5,12.0,10.9,18.9,Belo Horizonte,Sudeste
1994-01-23,27.1,19.1,22.0,12.5,8.6,18.43,Belo Horizonte,Sudeste
1994-01-24,26.0,19.2,22.3,14.5,7.9,19.52,Belo Horizonte,Sudeste
1994-01-25,26.7,19.0,22.8,7.3,10.8,21.89,Belo Horizonte,Sudeste
1994-01-26,28.5,19.0,23.3,6.1,14.0,23.71,Belo Horizonte,Sudeste
1994-01-27,27.0,19.1,22.9,1.0,11.8,22.09,Belo Horizonte,Sudeste
1994-01-28,28.0,19.1,23.0,2.3,9.3,22.37,Belo Horizonte,Sudeste
1994-01-29,27.5,19.3,22.9,0.0,12.1,27.58,Belo Horizonte,Sudeste
1994-01-30,26.9,17.5,22.1,0.0,12.0,24.61,Belo Horizonte,Sudeste
1994-01-31,27.4,17.0,22.2,0.0,11.8,25.2,Belo Horizonte,Sudeste
1994-02-01,28.0,16.5,22.3,0.0,11.3,30.05,Belo Horizonte,Sudeste
1994-02-02,28.2,16.0,22.4,0.0,10.7,28.36,Belo Horizonte,Sudeste
1994-02-03,28.2,16.7,22.5,0.0,9.9,30.37,Belo Horizonte,Sudeste
1994-02-04,27.9,18.4,22.8,0.2,11.6,25.64,Belo Horizonte,Sudeste
1994-02-05,29.0,15.2,22.4,0.0,9.3,29.47,Belo Horizonte,Sudeste
1994-02-06,28.9,17.8,23.3,0.0,9.4,25.62,Belo Horizonte,Sudeste
1994-02-07,28.9,18.0,23.4,0.0,12.0,29.08,Belo Horizonte,Sudeste
1994-02-08,27.5,17.9,22.7,6.9,9.7,23.46,Belo Horizonte,Sudeste
1994-02-09,27.7,19.4,23.0,4.4,10.6,24.22,Belo Horizonte,Sudeste
1994-02-10,28.3,18.3,23.3,0.4,9.9,24.96,Belo Horizonte,Sudeste
1994-02-11,28.7,19.2,23.9,0.7,7.8,24.27,Belo Horizonte,Sudeste
1994-02-12,29.1,19.1,23.9,0.0,10.5,26.64,Belo Horizonte,Sudeste
1994-02-13,29.3,18.0,23.8,0.0,7.5,26.0,Belo Horizonte,Sudeste
1994-02-14,29.4,20.0,24.7,0.1,9.3,24.71,Belo Horizonte,Sudeste
1994-02-15,29.5,20.4,24.8,0.0,12.6,25.64,Belo Horizonte,Sudeste
1994-02-16,29.3,19.3,24.6,0.0,9.2,25.37,Belo Horizonte,Sudeste
1994-02-17,31.2,18.6,25.2,0.0,7.5,27.17,Belo Horizonte,Sudeste
1994-02-18,31.5,19.3,25.6,0.0,8.0,25.39,Belo Horizonte,Sudeste
1994-02-19,30.6,18.4,24.7,0.0,9.1,26.86,Belo Horizonte,Sudeste
1994-02-20,30.1,17.7,24.2,0.0,12.1,26.93,Belo Horizonte,Sudeste
1994-02-21,28.6,19.0,24.1,0.0,11.6,26.41,Belo Horizonte,Sudeste
1994-02-22,28.5,18.7,23.6,0.2,12.6,25.5,Belo Horizonte,Sudeste
1994-02-23,27.8,19.0,23.1,4.8,11.4,22.43,Belo Horizonte,Sudeste
1994-02-24,27.8,18.9,23.0,0.7,10.5,21.36,Belo Horizonte,Sudeste
1994-02-25,27.8,19.0,22.7,3.0,11.5,19.27,Belo Horizonte,Sudeste
1994-02-26,28.2,19.7,23.3,3.3,11.2,21.1,Belo Horizonte,Sudeste
1994-02-27,28.6,18.7,23.2,2.5,7.7,22.21,Belo Horizonte,Sudeste
1994-02-28,29.3,18.8,24.0,5.6,8.2,24.07,Belo Horizonte,Sudeste
1994-03-01,29.4,20.7,24.4,2.7,12.5,24.18,Belo Horizonte,Sudeste
1994-03-02,27.8,19.6,22.6,16.6,9.8,17.79,Belo Horizonte,Sudeste
1994-03-03,20.5,18.4,19.3,33.8,10.6,3.8,Belo Horizonte,Sudeste
1994-03-04,23.0,17.2,19.6,0.5,12.1,12.69,Belo Horizonte,Sudeste
1994-03-05,22.5,17.7,19.3,5.2,13.1,11.78,Belo Horizonte,Sudeste
1994-03-06,18.3,16.0,17.2,67.9,14.9,3.53,Belo Horizonte,Sudeste
