date,temp_max,temp_min,temp_mean,precip,wind_max,radiation,city,region
1980-01-01,20.7,18.3,19.2,9.4,17.7,6.97,Brasília,Centro-Oeste
1980-01-02,21.5,17.1,18.9,10.6,13.9,7.4,Brasília,Centro-Oeste
1980-01-03,23.4,16.9,19.9,6.4,8.4,17.56,Brasília,Centro-Oeste
1980-01-04,26.0,17.4,21.4,2.5,8.8,25.8,Brasília,Centro-Oeste
1980-01-05,24.8,17.4,20.6,1.2,18.0,22.25,Brasília,Centro-Oeste
1980-01-06,25.0,17.3,20.7,1.9,20.2,20.2,Brasília,Centro-Oeste
1980-01-07,25.4,17.7,20.8,5.8,14.7,20.72,Brasília,Centro-Oeste
1980-01-08,22.8,17.8,20.2,12.5,10.5,14.22,Brasília,Centro-Oeste
1980-01-09,24.4,18.1,20.4,13.0,11.1,15.5,Brasília,Centro-Oeste
1980-01-10,24.5,18.3,20.0,11.1,12.3,13.71,Brasília,Centro-Oeste
1980-01-11,24.9,18.0,20.2,6.3,7.2,16.44,Brasília,Centro-Oeste
1980-01-12,22.8,17.7,19.6,17.7,7.6,12.87,Brasília,Centro-Oeste
1980-01-13,19.5,17.8,18.4,82.1,9.1,3.48,Brasília,Centro-Oeste
1980-01-14,23.1,17.8,19.7,20.0,10.6,11.39,Brasília,Centro-Oeste
1980-01-15,21.9,17.7,19.5,13.7,10.5,10.38,Brasília,Centro-Oeste
1980-01-16,21.8,17.9,19.1,19.8,17.7,8.75,Brasília,Centro-Oeste
1980-01-17,22.9,17.9,19.9,8.1,12.4,13.46,Brasília,Centro-Oeste
1980-01-18,24.7,18.0,20.4,5.5,7.2,14.85,Brasília,Centro-Oeste
1980-01-19,27.1,16.9,21.5,0.9,7.2,23.99,Brasília,Centro-Oeste
1980-01-20,27.5,17.4,21.7,12.8,6.4,25.25,Brasília,Centro-Oeste
1980-01-21,26.7,18.0,21.9,18.9,5.1,22.16,Brasília,Centro-Oeste
1980-01-22,27.6,18.1,22.6,1.2,8.2,25.45,Brasília,Centro-Oeste
1980-01-23,27.0,19.3,22.4,9.2,8.7,22.53,Brasília,Centro-Oeste
1980-01-24,24.8,17.8,21.5,14.0,10.0,19.02,Brasília,Centro-Oeste
1980-01-25,24.6,18.3,21.1,15.0,7.9,15.84,Brasília,Centro-Oeste
1980-01-26,25.2,18.7,21.6,10.7,9.0,17.97,Brasília,Centro-Oeste
1980-01-27,27.2,19.4,22.5,2.2,13.5,24.24,Brasília,Centro-Oeste
1980-01-28,26.1,18.3,21.8,8.2,11.3,20.51,Brasília,Centro-Oeste
1980-01-29,25.4,18.2,21.5,19.2,8.8,19.02,Brasília,Centro-Oeste
1980-01-30,24.6,18.7,20.9,9.8,9.5,13.65,Brasília,Centro-Oeste
1980-01-31,23.4,18.1,20.9,21.4,13.8,14.3,Brasília,Centro-Oeste
1980-02-01,25.0,18.6,20.7,9.2,12.0,14.67,Brasília,Centro-Oeste
1980-02-02,25.0,19.0,20.6,12.0,15.2,13.86,Brasília,Centro-Oeste
1980-02-03,24.4,18.7,20.7,16.7,16.6,14.43,Brasília,Centro-Oeste
1980-02-04,25.3,17.8,20.9,2.4,10.9,15.55,Brasília,Centro-Oeste
1980-02-05,25.1,18.7,21.3,12.1,7.9,18.52,Brasília,Centro-Oeste
1980-02-06,26.1,18.0,21.7,1.8,11.8,18.43,Brasília,Centro-Oeste
1980-02-07,26.9,18.1,22.1,2.5,7.9,22.11,Brasília,Centro-Oeste
1980-02-08,25.0,19.0,21.0,34.3,9.2,13.23,Brasília,Centro-Oeste
1980-02-09,25.8,18.4,21.5,4.1,13.4,21.2,Brasília,Centro-Oeste
1980-02-10,25.0,17.9,21.2,6.6,14.3,19.72,Brasília,Centro-Oeste
1980-02-11,25.5,18.8,21.8,4.2,17.3,21.5,Brasília,Centro-Oeste
1980-02-12,24.1,18.2,20.3,18.5,12.3,12.67,Brasília,Centro-Oeste
1980-02-13,20.8,18.0,19.2,80.5,9.7,4.47,Brasília,Centro-Oeste
1980-02-14,19.6,17.3,18.6,34.5,15.9,4.04,Brasília,Centro-Oeste
1980-02-15,18.7,17.0,17.8,24.5,20.9,4.17,Brasília,Centro-Oeste
1980-02-16,17.3,15.9,16.8,43.0,17.7,2.66,Brasília,Centro-Oeste
1980-02-17,19.7,15.8,17.4,21.2,9.7,5.72,Brasília,Centro-Oeste
1980-02-18,22.3,16.3,18.4,21.4,22.7,8.5,Brasília,Centro-Oeste
1980-02-19,23.0,17.0,19.5,4.8,15.9,15.45,Brasília,Centro-Oeste
1980-02-20,25.4,16.8,20.6,1.8,11.4,20.92,Brasília,Centro-Oeste
1980-02-21,27.0,17.0,21.6,2.7,11.3,24.83,Brasília,Centro-Oeste
1980-02-22,23.3,18.1,20.5,9.6,12.5,13.76,Brasília,Centro-Oeste
1980-02-23,26.0,17.1,21.5,3.5,13.3,21.51,Brasília,Centro-Oeste
1980-02-24,26.0,17.0,21.3,2.1,8.3,22.93,Brasília,Centro-Oeste
1980-02-25,26.1,17.2,21.7,0.7,11.0,24.75,Brasília,Centro-Oeste
1980-02-26,24.3,17.4,20.9,14.2,10.3,18.19,Brasília,Centro-Oeste
1980-02-27,24.1,18.0,20.4,22.5,11.7,14.74,Brasília,Centro-Oeste
1980-02-28,24.1,18.3,20.3,21.1,10.2,15.39,Brasília,Centro-Oeste
1980-02-29,25.2,17.2,20.9,3.0,15.1,21.11,Brasília,Centro-Oeste
1980-03-01,25.2,16.8,20.6,3.0,18.1,23.78,Brasília,Centro-Oeste
1980-03-02,25.2,16.7,20.4,1.7,20.5,23.66,Brasília,Centro-Oeste
1980-03-03,25.1,16.7,20.3,3.3,17.3,20.72,Brasília,Centro-Oeste
1980-03-04,23.7,17.6,20.1,8.8,11.5,15.16,Brasília,Centro-Oeste
1980-03-05,25.6,16.0,20.3,1.6,16.9,22.33,Brasília,Centro-Oeste
1980-03-06,24.5,17.3,20.8,0.1,20.8,19.54,Brasília,Centro-Oeste
1980-03-07,24.0,16.8,20.2,0.0,17.7,14.91,Brasília,Centro-Oeste
1980-03-08,24.2,17.4,20.6,1.4,11.9,17.03,Brasília,Centro-Oeste
1980-03-09,25.9,17.3,21.4,0.6,11.9,22.71,Brasília,Centro-Oeste
1980-03-10,26.7,17.1,22.0,0.3,16.0,24.78,Brasília,Centro-Oeste
