date,temp_max,temp_min,temp_mean,precip,wind_max,radiation,city,region
2008-01-01,30.1,23.7,26.5,11.9,7.6,21.82,Cuiabá,Centro-Oeste
2008-01-02,31.4,24.1,27.2,3.9,9.8,24.24,Cuiabá,Centro-Oeste
2008-01-03,30.9,24.4,27.3,0.6,8.6,19.72,Cuiabá,Centro-Oeste
2008-01-04,31.8,23.7,27.5,1.1,9.1,23.86,Cuiabá,Centro-Oeste
2008-01-05,31.4,23.8,27.1,5.9,6.9,23.83,Cuiabá,Centro-Oeste
2008-01-06,32.4,23.5,27.9,0.3,9.2,27.02,Cuiabá,Centro-Oeste
2008-01-07,30.8,24.7,27.3,2.7,10.2,21.03,Cuiabá,Centro-Oeste
2008-01-08,28.8,23.5,25.7,10.6,11.0,14.7,Cuiabá,Centro-Oeste
2008-01-09,30.5,23.3,26.0,11.9,10.2,20.81,Cuiabá,Centro-Oeste
2008-01-10,30.6,23.5,26.5,3.2,12.2,18.48,Cuiabá,Centro-Oeste
2008-01-11,28.1,23.8,25.7,11.1,11.2,13.85,Cuiabá,Centro-Oeste
2008-01-12,30.5,23.3,26.5,2.5,9.4,21.63,Cuiabá,Centro-Oeste
2008-01-13,30.6,23.4,26.9,9.0,4.7,21.36,Cuiabá,Centro-Oeste
2008-01-14,30.3,24.4,26.6,13.9,7.7,16.85,Cuiabá,Centro-Oeste
2008-01-15,29.7,23.9,26.1,8.0,11.0,17.76,Cuiabá,Centro-Oeste
2008-01-16,29.2,22.7,25.7,8.3,14.8,16.95,Cuiabá,Centro-Oeste
2008-01-17,28.8,23.9,25.8,4.3,20.4,16.68,Cuiabá,Centro-Oeste
2008-01-18,30.7,23.5,26.7,0.1,16.3,23.88,Cuiabá,Centro-Oeste
2008-01-19,31.2,24.5,26.9,2.0,15.9,22.43,Cuiabá,Centro-Oeste
2008-01-20,30.6,23.7,26.1,4.8,14.0,21.63,Cuiabá,Centro-Oeste
2008-01-21,29.3,23.5,26.2,2.1,7.4,17.68,Cuiabá,Centro-Oeste
2008-01-22,26.4,23.7,25.0,9.8,9.2,10.11,Cuiabá,Centro-Oeste
2008-01-23,28.1,23.0,25.2,14.2,9.3,13.57,Cuiabá,Centro-Oeste
2008-01-24,29.7,22.8,25.7,18.1,5.3,18.2,Cuiabá,Centro-Oeste
2008-01-25,29.5,23.2,25.9,12.4,5.1,18.1,Cuiabá,Centro-Oeste
2008-01-26,29.1,23.9,26.0,17.1,13.7,16.53,Cuiabá,Centro-Oeste
2008-01-27,28.1,23.2,25.1,19.0,16.1,12.51,Cuiabá,Centro-Oeste
2008-01-28,27.0,22.8,24.3,29.2,13.4,6.34,Cuiabá,Centro-Oeste
2008-01-29,28.0,23.4,25.1,23.4,15.1,12.84,Cuiabá,Centro-Oeste
2008-01-30,26.7,23.2,24.5,6.6,18.3,10.54,Cuiabá,Centro-Oeste
2008-01-31,27.7,22.4,24.4,15.5,11.7,7.37,Cuiabá,Centro-Oeste
2008-02-01,29.9,22.8,25.9,5.2,10.0,16.21,Cuiabá,Centro-Oeste
2008-02-02,30.8,22.9,26.1,11.4,10.8,17.41,Cuiabá,Centro-Oeste
2008-02-03,30.2,23.3,26.4,4.4,12.7,18.18,Cuiabá,Centro-Oeste
2008-02-04,30.9,23.6,27.0,0.6,10.1,23.78,Cuiabá,Centro-Oeste
2008-02-05,31.5,23.6,26.8,0.9,11.7,22.32,Cuiabá,Centro-Oeste
2008-02-06,31.1,22.7,26.6,1.5,10.7,26.22,Cuiabá,Centro-Oeste
2008-02-07,29.8,23.1,25.5,14.1,19.1,21.05,Cuiabá,Centro-Oeste
2008-02-08,30.3,23.0,26.4,0.8,11.5,24.73,Cuiabá,Centro-Oeste
2008-02-09,31.4,23.1,27.0,4.0,9.7,24.92,Cuiabá,Centro-Oeste
2008-02-10,30.2,23.6,26.7,8.5,7.9,18.77,Cuiabá,Centro-Oeste
2008-02-11,28.2,23.0,25.1,21.0,14.1,13.42,Cuiabá,Centro-Oeste
2008-02-12,29.9,22.1,25.7,1.8,10.5,21.65,Cuiabá,Centro-Oeste
2008-02-13,31.3,22.8,26.4,11.2,9.5,24.58,Cuiabá,Centro-Oeste
2008-02-14,31.3,22.6,26.7,9.7,9.0,24.23,Cuiabá,Centro-Oeste
2008-02-15,30.3,23.3,26.2,11.0,8.3,20.04,Cuiabá,Centro-Oeste
2008-02-16,30.5,22.9,26.1,3.7,10.8,21.86,Cuiabá,Centro-Oeste
2008-02-17,29.7,22.4,25.5,14.4,15.9,19.95,Cuiabá,Centro-Oeste
2008-02-18,30.9,23.5,26.6,0.2,13.4,22.27,Cuiabá,Centro-Oeste
2008-02-19,30.8,23.0,26.6,11.7,10.2,24.19,Cuiabá,Centro-Oeste
2008-02-20,30.5,22.8,26.6,2.3,7.9,23.7,Cuiabá,Centro-Oeste
2008-02-21,30.0,23.4,26.3,3.7,10.7,21.93,Cuiabá,Centro-Oeste
2008-02-22,30.1,24.0,26.3,1.6,15.1,19.26,Cuiabá,Centro-Oeste
2008-02-23,29.8,23.4,26.2,4.2,10.1,16.11,Cuiabá,Centro-Oeste
2008-02-24,28.7,23.1,25.5,7.1,9.4,17.56,Cuiabá,Centro-Oeste
2008-02-25,29.5,22.9,25.6,4.9,12.1,15.19,Cuiabá,Centro-Oeste
2008-02-26,29.5,23.1,25.5,10.4,7.8,14.06,Cuiabá,Centro-Oeste
2008-02-27,30.5,23.3,26.3,1.3,8.6,21.47,Cuiabá,Centro-Oeste
2008-02-28,29.8,24.0,26.3,6.8,6.9,13.45,Cuiabá,Centro-Oeste
2008-02-29,28.0,23.3,25.6,13.8,16.0,14.09,Cuiabá,Centro-Oeste
2008-03-01,29.2,23.4,25.3,3.0,11.8,13.33,Cuiabá,Centro-Oeste
2008-03-02,30.0,22.7,26.2,0.4,9.4,20.92,Cuiabá,Centro-Oeste
2008-03-03,31.1,22.6,26.6,5.7,9.1,21.8,Cuiabá,Centro-Oeste
2008-03-04,29.7,22.9,25.3,3.7,7.9,15.87,Cuiabá,Centro-Oeste
2008-03-05,28.1,22.4,24.4,19.9,8.3,12.61,Cuiabá,Centro-Oeste
2008-03-06,28.1,23.0,24.6,16.7,12.7,11.53,Cuiabá,Centro-Oeste
2008-03-07,29.4,22.4,25.5,6.5,7.6,18.01,Cuiabá,Centro-Oeste
2008-03-08,29.1,22.7,25.7,11.4,9.5,16.1,Cuiabá,Centro-Oeste
2008-03-09,30.4,23.0,26.3,3.1,9.7,20.88,Cuiabá,Centro-Oeste
2008-03-10,30.4,23.6,26.2,7.1,10.8,19.2,Cuiabá,Centro-Oeste
2008-03-11,30.4,23.1,26.8,3.9,7.4,19.97,Cuiabá,Centro-Oeste
2008-03-12,30.0,23.6,26.3,10.6,10.0,19.94,Cuiabá,Centro-Oeste
2008-03-13,29.2,23.2,25.1,17.0,9.4,14.43,Cuiabá,Centro-Oeste
2008-03-14,25.5,22.4,23.5,14.3,10.2,5.6,Cuiabá,Centro-Oeste
2008-03-15,29.0,22.2,25.1,1.0,11.2,21.09,Cuiabá,Centro-Oeste
2008-03-16,29.2,22.1,24.9,4.3,8.2,17.06,Cuiabá,Centro-Oeste
2008-03-17,29.9,22.2,25.2,12.1,9.4,20.1,Cuiabá,Centro-Oeste
2008-03-18,28.9,21.9,25.2,2.9,7.6,19.02,Cuiabá,Centro-Oeste
2008-03-19,30.4,22.5,26.0,3.0,13.2,21.46,Cuiabá,Centro-Oeste
2008-03-20,29.8,23.0,25.9,5.2,11.1,21.3,Cuiabá,Centro-Oeste
2008-03-21,29.7,22.0,25.8,7.4,7.4,21.18,Cuiabá,Centro-Oeste
2008-03-22,30.7,22.8,26.4,3.0,9.8,22.87,Cuiabá,Centro-Oeste
2008-03-23,30.8,23.0,26.6,3.4,7.0,22.25,Cuiabá,Centro-Oeste
2008-03-24,30.8,22.5,26.3,7.5,9.7,21.14,Cuiabá,Centro-Oeste
2008-03-25,30.6,22.8,26.2,5.1,8.4,21.2,Cuiabá,Centro-Oeste
2008-03-26,30.4,22.6,26.1,4.1,6.1,19.14,Cuiabá,Centro-Oeste
2008-03-27,30.7,23.6,26.7,0.5,11.2,20.29,Cuiabá,Centro-Oeste
2008-03-28,31.3,23.0,26.7,2.4,10.1,20.85,Cuiabá,Centro-Oeste
2008-03-29,30.5,22.7,26.0,7.6,8.2,19.0,Cuiabá,Centro-Oeste
2008-03-30,31.0,23.2,26.4,2.5,9.4,19.94,Cuiabá,Centro-Oeste
2008-03-31,31.4,23.0,26.8,1.6,6.2,21.37,Cuiabá,Centro-Oeste
2008-04-01,30.7,23.1,26.0,12.3,10.7,20.87,Cuiabá,Centro-Oeste
2008-04-02,25.7,22.9,24.2,16.2,11.4,8.34,Cuiabá,Centro-Oeste
2008-04-03,26.2,22.2,23.6,8.5,9.4,7.9,Cuiabá,Centro-Oeste
2008-04-04,25.4,22.2,23.2,1.9,16.3,11.17,Cuiabá,Centro-Oeste
2008-04-05,27.0,20.1,23.4,0.0,12.7,22.63,Cuiabá,Centro-Oeste
