date,temp_max,temp_min,temp_mean,precip,wind_max,radiation,city,region
2024-01-01,24.2,16.4,19.7,2.8,20.9,23.56,Curitiba,Sul
2024-01-02,25.9,15.8,20.2,1.5,21.7,25.96,Curitiba,Sul
2024-01-03,26.6,16.9,20.1,2.5,27.4,23.59,Curitiba,Sul
2024-01-04,23.6,16.7,19.5,2.3,20.9,19.99,Curitiba,Sul
2024-01-05,24.5,15.9,19.2,2.1,17.3,20.3,Curitiba,Sul
2024-01-06,25.2,17.6,20.5,1.2,18.8,23.11,Curitiba,Sul
2024-01-07,28.9,17.3,22.3,1.7,16.5,27.92,Curitiba,Sul
2024-01-08,32.6,19.7,26.2,0.2,18.6,28.67,Curitiba,Sul
2024-01-09,32.0,19.6,24.5,10.2,21.6,29.2,Curitiba,Sul
2024-01-10,29.6,18.6,23.6,1.0,17.5,28.67,Curitiba,Sul
2024-01-11,29.5,20.8,24.0,12.4,20.7,25.11,Curitiba,Sul
2024-01-12,24.0,18.2,20.6,4.5,23.8,14.57,Curitiba,Sul
2024-01-13,22.2,16.9,19.0,0.6,20.1,14.94,Curitiba,Sul
2024-01-14,29.5,15.6,22.3,0.0,15.3,30.23,Curitiba,Sul
2024-01-15,30.2,20.0,24.1,1.5,20.1,26.01,Curitiba,Sul
2024-01-16,30.3,20.0,24.8,1.7,20.3,26.99,Curitiba,Sul
2024-01-17,28.3,21.0,23.8,17.2,21.7,20.23,Curitiba,Sul
2024-01-18,27.5,20.5,23.5,2.3,23.2,19.26,Curitiba,Sul
2024-01-19,28.9,21.7,24.4,2.8,28.9,26.32,Curitiba,Sul
2024-01-20,27.1,19.1,22.7,15.2,20.6,19.86,Curitiba,Sul
2024-01-21,24.6,17.5,20.4,4.4,23.9,23.31,Curitiba,Sul
2024-01-22,20.4,16.4,17.9,10.8,21.4,9.37,Curitiba,Sul
2024-01-23,20.0,15.4,17.1,9.6,29.2,13.63,Curitiba,Sul
2024-01-24,20.0,14.6,16.6,7.0,28.4,16.9,Curitiba,Sul
2024-01-25,18.2,13.6,15.6,6.2,28.3,14.71,Curitiba,Sul
2024-01-26,19.9,12.2,15.7,6.3,22.5,18.83,Curitiba,Sul
2024-01-27,21.4,14.6,17.2,7.9,15.1,18.54,Curitiba,Sul
2024-01-28,22.9,14.8,18.3,15.2,13.4,22.71,Curitiba,Sul
2024-01-29,25.1,16.3,20.3,1.0,18.2,25.38,Curitiba,Sul
2024-01-30,27.0,15.4,21.6,0.5,18.4,28.23,Curitiba,Sul
2024-01-31,27.1,18.4,21.2,4.0,12.7,24.88,Curitiba,Sul
2024-02-01,24.5,17.5,20.0,3.3,18.0,22.18,Curitiba,Sul
2024-02-02,23.6,17.8,19.8,2.5,19.4,23.5,Curitiba,Sul
2024-02-03,25.1,17.0,20.7,2.3,15.7,22.69,Curitiba,Sul
2024-02-04,27.5,17.9,22.0,11.3,15.5,25.39,Curitiba,Sul
2024-02-05,27.8,17.0,21.8,0.5,15.5,27.21,Curitiba,Sul
2024-02-06,28.4,18.2,22.4,0.0,15.5,28.51,Curitiba,Sul
2024-02-07,28.5,18.4,22.6,2.9,15.6,25.23,Curitiba,Sul
2024-02-08,28.5,19.4,23.1,0.7,14.5,26.77,Curitiba,Sul
2024-02-09,28.9,17.3,22.5,0.0,22.7,29.16,Curitiba,Sul
2024-02-10,28.1,18.4,22.1,1.1,19.1,25.3,Curitiba,Sul
