date,temp_max,temp_min,temp_mean,precip,wind_max,radiation,city,region
2014-01-01,29.9,25.7,27.3,0.5,25.0,21.64,Fortaleza,Nordeste
2014-01-02,29.8,25.5,27.2,0.6,27.0,22.24,Fortaleza,Nordeste
2014-01-03,28.9,25.4,26.8,0.9,25.3,21.92,Fortaleza,Nordeste
2014-01-04,28.7,25.0,26.5,1.9,21.4,20.96,Fortaleza,Nordeste
2014-01-05,28.7,24.9,26.6,1.2,22.1,19.62,Fortaleza,Nordeste
2014-01-06,28.4,24.5,26.3,5.2,21.0,15.36,Fortaleza,Nordeste
2014-01-07,28.8,24.1,26.0,7.1,21.5,16.58,Fortaleza,Nordeste
2014-01-08,29.1,24.0,26.5,4.1,23.6,21.27,Fortaleza,Nordeste
2014-01-09,27.2,25.1,25.9,8.8,22.7,15.91,Fortaleza,Nordeste
2014-01-10,27.4,23.9,25.8,3.8,21.3,16.25,Fortaleza,Nordeste
2014-01-11,29.3,25.1,26.6,0.2,24.6,24.52,Fortaleza,Nordeste
2014-01-12,28.5,24.2,26.3,1.0,23.2,23.59,Fortaleza,Nordeste
2014-01-13,28.8,24.5,26.4,1.4,22.0,22.62,Fortaleza,Nordeste
2014-01-14,30.5,24.6,27.0,1.8,22.0,23.09,Fortaleza,Nordeste
2014-01-15,29.5,24.4,26.8,2.2,22.0,22.8,Fortaleza,Nordeste
2014-01-16,29.4,25.2,27.0,1.0,24.1,21.23,Fortaleza,Nordeste
2014-01-17,29.0,25.8,27.1,0.7,21.6,21.72,Fortaleza,Nordeste
2014-01-18,29.1,24.8,26.7,1.7,22.0,22.73,Fortaleza,Nordeste
2014-01-19,29.2,25.5,27.0,1.2,22.0,22.64,Fortaleza,Nordeste
2014-01-20,29.2,25.6,27.0,0.0,24.9,22.65,Fortaleza,Nordeste
2014-01-21,29.5,25.2,26.9,0.0,25.0,24.14,Fortaleza,Nordeste
2014-01-22,30.2,25.6,27.5,0.1,23.2,24.2,Fortaleza,Nordeste
2014-01-23,30.8,26.0,27.7,0.0,24.2,25.23,Fortaleza,Nordeste
2014-01-24,29.7,25.7,27.3,0.2,25.1,19.95,Fortaleza,Nordeste
2014-01-25,29.1,25.8,27.0,0.4,24.3,20.98,Fortaleza,Nordeste
2014-01-26,28.0,24.2,26.2,2.4,21.7,17.82,Fortaleza,Nordeste
2014-01-27,27.8,24.4,25.9,3.3,22.7,13.67,Fortaleza,Nordeste
2014-01-28,31.1,24.9,27.4,0.3,26.7,25.94,Fortaleza,Nordeste
2014-01-29,31.3,25.4,27.6,0.2,22.2,25.81,Fortaleza,Nordeste
2014-01-30,28.0,24.3,25.9,10.6,16.6,14.79,Fortaleza,Nordeste
2014-01-31,29.4,24.0,26.3,3.3,20.9,19.3,Fortaleza,Nordeste
2014-02-01,29.5,25.5,27.2,0.3,22.5,24.02,Fortaleza,Nordeste
2014-02-02,30.9,24.8,27.3,3.1,24.3,23.8,Fortaleza,Nordeste
2014-02-03,29.2,25.2,26.8,0.9,25.5,22.61,Fortaleza,Nordeste
2014-02-04,28.6,24.1,26.2,1.7,19.1,21.24,Fortaleza,Nordeste
2014-02-05,29.6,25.2,27.0,0.0,21.0,22.05,Fortaleza,Nordeste
2014-02-06,29.6,25.3,26.9,0.8,19.1,23.37,Fortaleza,Nordeste
2014-02-07,29.0,24.1,26.6,1.7,22.1,17.86,Fortaleza,Nordeste
2014-02-08,29.1,24.1,26.4,5.7,23.0,19.35,Fortaleza,Nordeste
