date,temp_max,temp_min,temp_mean,precip,wind_max,radiation,city,region
2014-01-01,31.4,25.2,27.8,0.1,12.6,18.75,Manaus,Norte
2014-01-02,31.4,24.2,27.9,0.2,13.4,22.54,Manaus,Norte
2014-01-03,30.8,24.8,27.7,0.2,11.7,20.76,Manaus,Norte
2014-01-04,31.0,25.2,27.7,1.2,11.9,21.47,Manaus,Norte
2014-01-05,29.4,25.2,26.8,10.6,10.9,15.89,Manaus,Norte
2014-01-06,29.4,24.2,26.1,12.3,9.7,15.35,Manaus,Norte
2014-01-07,27.3,23.8,24.9,16.6,10.8,10.01,Manaus,Norte
2014-01-08,28.2,23.5,25.0,18.3,9.6,12.96,Manaus,Norte
2014-01-09,28.6,23.4,25.4,3.3,7.4,13.4,Manaus,Norte
2014-01-10,29.9,23.8,25.9,19.3,9.0,19.35,Manaus,Norte
2014-01-11,27.4,23.4,25.1,10.6,8.9,8.81,Manaus,Norte
2014-01-12,30.5,23.2,26.0,8.2,10.6,20.6,Manaus,Norte
2014-01-13,25.4,23.2,24.2,21.8,8.3,6.57,Manaus,Norte
2014-01-14,29.5,23.0,25.5,14.8,12.3,18.31,Manaus,Norte
2014-01-15,30.5,23.6,26.3,5.2,10.4,20.44,Manaus,Norte
2014-01-16,28.8,23.9,26.3,11.8,14.0,18.22,Manaus,Norte
2014-01-17,29.2,24.1,26.7,7.1,13.0,16.21,Manaus,Norte
2014-01-18,28.2,24.4,26.0,15.1,14.6,12.43,Manaus,Norte
2014-01-19,28.4,24.3,25.8,13.4,8.7,10.74,Manaus,Norte
2014-01-20,30.1,23.9,26.6,3.0,8.6,18.85,Manaus,Norte
2014-01-21,30.3,24.7,27.2,1.8,10.0,18.78,Manaus,Norte
2014-01-22,29.8,24.7,26.8,1.1,16.1,15.99,Manaus,Norte
2014-01-23,30.9,24.4,27.1,0.9,11.1,19.95,Manaus,Norte
2014-01-24,29.8,25.1,27.0,1.4,8.0,18.04,Manaus,Norte
2014-01-25,29.7,24.4,26.8,7.2,9.5,19.88,Manaus,Norte
2014-01-26,29.8,24.2,26.0,11.6,14.7,17.71,Manaus,Norte
2014-01-27,30.0,24.3,26.3,7.1,14.9,17.18,Manaus,Norte
2014-01-28,27.3,23.5,25.2,15.1,11.5,13.24,Manaus,Norte
2014-01-29,26.9,23.6,24.7,8.7,11.0,6.12,Manaus,Norte
2014-01-30,29.7,23.3,26.0,0.4,15.4,18.76,Manaus,Norte
2014-01-31,28.8,24.0,25.9,5.1,10.3,16.6,Manaus,Norte
2014-02-01,28.3,24.1,25.7,10.5,11.3,14.57,Manaus,Norte
2014-02-02,28.7,23.7,26.2,2.6,11.4,16.26,Manaus,Norte
2014-02-03,29.9,24.0,26.6,1.2,9.7,15.28,Manaus,Norte
2014-02-04,27.0,24.1,25.2,13.7,6.6,7.98,Manaus,Norte
2014-02-05,30.0,23.4,25.5,15.9,11.6,15.4,Manaus,Norte
2014-02-06,29.8,23.3,25.9,15.6,8.1,19.31,Manaus,Norte
2014-02-07,28.7,23.3,24.9,23.3,8.9,14.34,Manaus,Norte
2014-02-08,28.3,23.4,25.0,12.4,10.8,14.92,Manaus,Norte
2014-02-09,30.1,23.3,26.2,11.5,13.7,18.7,Manaus,Norte
2014-02-10,27.5,23.8,25.1,19.3,12.5,10.23,Manaus,Norte
2014-02-11,25.5,23.7,24.6,15.8,10.4,7.98,Manaus,Norte
2014-02-12,27.0,23.1,25.2,7.8,12.4,13.35,Manaus,Norte
2014-02-13,29.5,23.7,25.7,9.1,14.7,18.41,Manaus,Norte
2014-02-14,28.0,23.4,25.5,9.7,10.5,13.94,Manaus,Norte
2014-02-15,26.2,24.1,24.8,18.2,7.2,5.84,Manaus,Norte
2014-02-16,27.5,23.8,24.9,7.8,11.8,5.32,Manaus,Norte
2014-02-17,29.0,23.5,25.8,0.2,7.9,15.87,Manaus,Norte
2014-02-18,29.6,23.4,26.2,4.5,9.4,17.94,Manaus,Norte
2014-02-19,29.7,24.1,25.9,8.6,9.5,11.6,Manaus,Norte
2014-02-20,28.0,23.9,25.9,5.1,16.0,16.19,Manaus,Norte
2014-02-21,26.5,23.2,24.5,30.1,11.9,7.69,Manaus,Norte
2014-02-22,27.8,23.3,25.3,10.0,11.3,14.41,Manaus,Norte
2014-02-23,28.1,23.5,25.2,8.5,13.3,15.2,Manaus,Norte
2014-02-24,28.6,23.8,25.6,4.4,10.0,12.73,Manaus,Norte
2014-02-25,29.4,23.6,25.8,8.0,10.8,16.13,Manaus,Norte
2014-02-26,27.7,23.4,25.1,13.7,8.5,11.19,Manaus,Norte
2014-02-27,28.5,23.9,25.8,15.2,9.4,14.37,Manaus,Norte
2014-02-28,30.0,23.7,26.1,7.2,14.5,18.64,Manaus,Norte
2014-03-01,28.9,23.9,25.5,21.9,6.7,13.53,Manaus,Norte
2014-03-02,26.5,23.9,24.9,20.6,10.0,8.24,Manaus,Norte
2014-03-03,30.4,23.5,26.0,19.2,14.0,19.84,Manaus,Norte
2014-03-04,30.6,23.7,26.3,12.8,8.5,19.43,Manaus,Norte
2014-03-05,30.1,24.4,26.5,6.2,14.5,19.61,Manaus,Norte
2014-03-06,28.6,24.5,25.8,6.2,12.8,13.39,Manaus,Norte
2014-03-07,29.2,23.9,25.9,13.5,9.0,18.03,Manaus,Norte
2014-03-08,25.5,23.0,24.1,24.3,7.6,5.19,Manaus,Norte
2014-03-09,29.8,22.8,25.5,2.7,13.2,14.79,Manaus,Norte
2014-03-10,31.0,24.4,27.2,5.5,11.2,23.34,Manaus,Norte
2014-03-11,28.1,24.4,25.7,23.7,12.6,11.72,Manaus,Norte
2014-03-12,27.2,23.9,24.7,33.5,12.2,7.46,Manaus,Norte
2014-03-13,29.4,23.2,26.0,2.5,15.1,18.44,Manaus,Norte
2014-03-14,30.0,24.4,26.3,7.3,12.8,17.44,Manaus,Norte
2014-03-15,27.6,24.1,25.4,21.0,15.5,12.7,Manaus,Norte
2014-03-16,30.1,23.1,26.4,0.1,13.7,21.03,Manaus,Norte
2014-03-17,29.9,24.4,26.3,10.7,14.5,17.69,Manaus,Norte
2014-03-18,29.7,24.1,26.5,4.6,16.3,17.34,Manaus,Norte
2014-03-19,29.7,24.5,26.4,4.8,12.7,16.17,Manaus,Norte
2014-03-20,26.8,24.1,25.2,12.0,11.0,8.53,Manaus,Norte
2014-03-21,28.7,23.9,25.5,15.0,10.9,9.6,Manaus,Norte
2014-03-22,28.2,24.0,25.6,13.6,9.7,10.82,Manaus,Norte
2014-03-23,28.2,23.5,24.8,20.6,8.0,9.76,Manaus,Norte
2014-03-24,25.7,23.4,24.4,20.6,8.7,6.8,Manaus,Norte
2014-03-25,29.0,23.0,25.5,1.9,11.1,15.3,Manaus,Norte
2014-03-26,29.4,23.4,25.8,2.7,9.0,16.98,Manaus,Norte
2014-03-27,26.4,23.4,24.8,17.2,10.7,9.09,Manaus,Norte
2014-03-28,25.5,23.5,24.4,18.3,7.9,6.8,Manaus,Norte
2014-03-29,30.9,22.4,26.2,1.2,10.2,22.92,Manaus,Norte
2014-03-30,30.9,24.7,27.3,1.8,12.8,21.4,Manaus,Norte
2014-03-31,30.1,24.4,26.6,16.4,13.1,17.27,Manaus,Norte
2014-04-01,26.9,24.0,25.3,21.1,9.7,8.69,Manaus,Norte
2014-04-02,29.7,23.3,25.6,1.6,8.6,16.95,Manaus,Norte
2014-04-03,30.1,23.1,25.9,11.4,8.7,19.5,Manaus,Norte
2014-04-04,30.3,23.9,26.4,12.0,12.2,19.0,Manaus,Norte
2014-04-05,31.7,24.1,27.2,2.5,10.6,21.9,Manaus,Norte
2014-04-06,30.5,24.7,27.1,7.4,9.5,19.06,Manaus,Norte
2014-04-07,30.4,24.1,26.8,6.6,12.4,17.2,Manaus,Norte
2014-04-08,29.8,24.1,26.5,9.0,11.6,17.11,Manaus,Norte
2014-04-09,29.0,24.0,25.7,8.1,10.2,15.07,Manaus,Norte
2014-04-10,30.8,24.0,26.6,2.4,9.6,19.06,Manaus,Norte
2014-04-11,30.7,24.4,27.2,0.4,10.4,21.39,Manaus,Norte
2014-04-12,30.1,25.0,27.2,6.6,12.1,19.79,Manaus,Norte
2014-04-13,29.0,23.8,26.1,8.7,9.6,16.17,Manaus,Norte
2014-04-14,26.9,24.2,25.0,28.9,8.9,6.89,Manaus,Norte
2014-04-15,28.6,23.5,25.6,13.1,6.3,15.15,Manaus,Norte
2014-04-16,28.5,23.6,25.6,6.2,11.4,12.68,Manaus,Norte
2014-04-17,28.8,23.8,25.3,17.3,13.6,13.4,Manaus,Norte
2014-04-18,29.3,22.6,25.9,0.8,8.1,19.25,Manaus,Norte
2014-04-19,30.4,24.0,26.2,18.5,9.9,18.11,Manaus,Norte
2014-04-20,28.8,24.2,26.4,11.7,8.9,15.39,Manaus,Norte
2014-04-21,27.6,23.8,25.0,18.9,13.8,10.13,Manaus,Norte
2014-04-22,28.7,23.7,25.7,12.1,8.8,13.37,Manaus,Norte
2014-04-23,26.9,24.1,25.2,23.1,11.2,8.06,Manaus,Norte
2014-04-24,27.4,23.7,25.4,11.1,7.3,9.6,Manaus,Norte
2014-04-25,26.7,23.7,24.5,19.8,4.6,8.06,Manaus,Norte
2014-04-26,27.1,23.4,24.4,93.3,6.1,5.71,Manaus,Norte
2014-04-27,30.0,23.5,25.7,7.4,8.7,16.77,Manaus,Norte
2014-04-28,27.7,23.7,25.3,10.0,12.6,12.98,Manaus,Norte
2014-04-29,28.6,23.6,25.7,19.7,11.5,14.81,Manaus,Norte
