date,temp_max,temp_min,temp_mean,precip,wind_max,radiation,city,region
2016-01-01,27.2,21.2,23.8,0.2,21.6,20.07,Porto Alegre,Sul
2016-01-02,27.4,21.3,23.7,0.0,22.5,19.96,Porto Alegre,Sul
2016-01-03,27.7,20.5,23.9,0.0,22.8,27.56,Porto Alegre,Sul
2016-01-04,30.4,20.7,25.0,0.0,19.1,27.5,Porto Alegre,Sul
2016-01-05,29.1,22.6,25.2,2.3,14.0,10.66,Porto Alegre,Sul
2016-01-06,29.7,23.4,25.7,4.9,7.4,13.63,Porto Alegre,Sul
2016-01-07,25.5,22.9,24.1,0.9,22.4,8.9,Porto Alegre,Sul
2016-01-08,26.0,20.8,23.1,0.0,15.5,14.8,Porto Alegre,Sul
2016-01-09,28.8,21.2,24.3,1.6,22.2,14.45,Porto Alegre,Sul
2016-01-10,30.8,23.0,26.3,0.0,18.1,21.83,Porto Alegre,Sul
2016-01-11,29.9,21.7,25.8,0.4,16.1,21.95,Porto Alegre,Sul
2016-01-12,31.2,22.4,26.3,0.0,13.6,25.34,Porto Alegre,Sul
2016-01-13,30.7,21.1,25.1,1.3,25.1,26.69,Porto Alegre,Sul
2016-01-14,26.9,20.8,23.3,0.0,21.7,25.46,Porto Alegre,Sul
2016-01-15,30.0,19.9,24.6,0.3,16.6,26.94,Porto Alegre,Sul
2016-01-16,30.5,19.4,24.8,0.0,17.4,30.35,Porto Alegre,Sul
2016-01-17,32.1,18.7,25.3,0.0,10.8,31.1,Porto Alegre,Sul
2016-01-18,33.5,19.0,26.2,0.0,13.1,31.45,Porto Alegre,Sul
2016-01-19,31.7,20.0,25.8,0.0,19.4,29.4,Porto Alegre,Sul
2016-01-20,31.5,21.1,25.9,0.0,19.7,29.82,Porto Alegre,Sul
2016-01-21,29.8,21.9,25.0,0.5,25.8,24.35,Porto Alegre,Sul
2016-01-22,30.5,19.6,24.6,0.0,22.9,31.33,Porto Alegre,Sul
2016-01-23,34.1,19.3,26.8,0.0,13.7,30.5,Porto Alegre,Sul
2016-01-24,34.7,21.8,27.6,0.0,21.7,30.61,Porto Alegre,Sul
2016-01-25,36.0,22.3,29.4,0.0,20.6,26.52,Porto Alegre,Sul
