date,temp_max,temp_min,temp_mean,precip,wind_max,radiation,city,region
1996-01-01,30.9,24.4,27.2,2.0,18.3,23.01,Recife,Nordeste
1996-01-02,29.8,24.7,27.0,4.1,20.2,20.02,Recife,Nordeste
1996-01-03,30.2,25.2,27.3,0.7,19.8,23.58,Recife,Nordeste
1996-01-04,28.9,23.4,26.5,5.2,18.2,17.93,Recife,Nordeste
1996-01-05,30.0,24.8,27.1,2.0,19.5,22.42,Recife,Nordeste
1996-01-06,29.2,24.7,26.8,2.1,18.2,21.25,Recife,Nordeste
1996-01-07,29.3,24.2,26.4,2.1,16.8,19.39,Recife,Nordeste
1996-01-08,30.3,24.9,27.3,1.4,18.7,24.23,Recife,Nordeste
1996-01-09,30.3,25.3,27.2,2.2,18.7,22.98,Recife,Nordeste
1996-01-10,29.0,24.0,26.5,3.0,19.8,20.1,Recife,Nordeste
1996-01-11,30.1,24.8,26.9,0.8,17.1,22.54,Recife,Nordeste
1996-01-12,30.1,24.8,27.1,0.4,19.7,25.2,Recife,Nordeste
1996-01-13,30.7,24.1,26.9,1.4,17.6,23.09,Recife,Nordeste
1996-01-14,28.1,24.0,25.8,2.1,13.6,14.62,Recife,Nordeste
1996-01-15,29.7,24.1,26.6,1.8,18.3,18.45,Recife,Nordeste
1996-01-16,29.0,24.5,26.2,2.3,19.1,17.14,Recife,Nordeste
1996-01-17,29.1,23.5,26.1,2.2,12.2,20.84,Recife,Nordeste
1996-01-18,29.2,23.4,26.6,0.5,15.8,17.97,Recife,Nordeste
1996-01-19,29.8,24.1,26.6,2.5,16.2,21.16,Recife,Nordeste
1996-01-20,29.4,24.5,26.7,1.7,15.1,21.19,Recife,Nordeste
1996-01-21,29.0,23.9,26.1,1.3,13.5,22.13,Recife,Nordeste
1996-01-22,29.2,23.7,26.0,1.3,13.7,20.92,Recife,Nordeste
1996-01-23,29.7,24.5,27.1,1.6,16.9,20.76,Recife,Nordeste
1996-01-24,30.5,24.8,27.4,0.5,17.6,22.52,Recife,Nordeste
1996-01-25,30.5,24.8,27.2,1.0,19.9,24.39,Recife,Nordeste
1996-01-26,30.5,24.5,27.2,0.4,20.6,22.34,Recife,Nordeste
1996-01-27,30.0,24.2,27.1,2.3,18.6,21.24,Recife,Nordeste
1996-01-28,30.5,23.8,26.7,0.9,16.3,25.1,Recife,Nordeste
1996-01-29,31.0,25.1,27.6,0.0,16.9,25.02,Recife,Nordeste
1996-01-30,30.6,25.4,27.4,1.6,18.1,23.99,Recife,Nordeste
1996-01-31,31.3,25.2,27.8,0.0,16.8,26.65,Recife,Nordeste
1996-02-01,32.0,25.3,28.0,0.0,16.9,26.11,Recife,Nordeste
1996-02-02,31.2,25.2,27.7,2.1,17.6,20.91,Recife,Nordeste
1996-02-03,31.5,25.1,27.7,0.3,17.5,24.17,Recife,Nordeste
1996-02-04,31.4,24.9,27.7,0.4,17.0,22.61,Recife,Nordeste
1996-02-05,31.3,25.2,27.7,0.9,16.9,23.4,Recife,Nordeste
1996-02-06,30.8,24.9,27.4,0.9,16.5,22.91,Recife,Nordeste
1996-02-07,31.3,25.0,27.9,0.3,18.1,24.83,Recife,Nordeste
1996-02-08,32.0,25.9,28.3,0.4,21.6,24.88,Recife,Nordeste
1996-02-09,31.6,26.0,28.1,0.0,18.8,23.2,Recife,Nordeste
1996-02-10,31.9,25.3,28.1,0.3,15.8,22.29,Recife,Nordeste
1996-02-11,31.9,25.3,28.1,0.1,15.6,23.26,Recife,Nordeste
1996-02-12,32.3,25.6,28.2,0.0,18.0,25.04,Recife,Nordeste
1996-02-13,31.3,25.4,27.9,1.3,17.9,24.17,Recife,Nordeste
1996-02-14,29.6,24.7,26.7,2.1,17.9,22.56,Recife,Nordeste
1996-02-15,30.4,23.5,26.5,1.7,16.8,24.03,Recife,Nordeste
1996-02-16,31.3,24.5,27.3,1.2,17.8,25.42,Recife,Nordeste
1996-02-17,30.5,23.9,26.7,3.1,16.3,22.98,Recife,Nordeste
1996-02-18,31.0,24.9,27.4,1.9,19.9,24.2,Recife,Nordeste
1996-02-19,29.0,23.9,26.3,6.3,15.6,15.71,Recife,Nordeste
1996-02-20,31.9,24.4,27.4,0.0,15.4,27.41,Recife,Nordeste
1996-02-21,30.1,25.3,27.6,8.9,13.3,19.81,Recife,Nordeste
1996-02-22,31.4,24.7,27.9,0.9,15.9,25.16,Recife,Nordeste
1996-02-23,30.4,24.9,27.3,4.2,15.5,19.95,Recife,Nordeste
1996-02-24,29.3,24.7,26.7,3.3,18.1,20.83,Recife,Nordeste
1996-02-25,29.6,24.4,26.8,2.0,17.3,16.21,Recife,Nordeste
1996-02-26,30.3,25.1,27.3,1.8,16.8,22.81,Recife,Nordeste
1996-02-27,29.6,24.4,26.8,2.8,18.7,22.17,Recife,Nordeste
1996-02-28,29.7,24.6,26.9,3.2,20.1,21.61,Recife,Nordeste
