date,temp_max,temp_min,temp_mean,precip,wind_max,radiation,city,region
2020-01-01,32.2,23.8,27.8,0.0,19.0,28.49,Rio de Janeiro,Sudeste
2020-01-02,29.8,24.1,26.5,1.6,15.1,14.77,Rio de Janeiro,Sudeste
2020-01-03,27.3,22.9,24.9,2.7,18.8,19.98,Rio de Janeiro,Sudeste
2020-01-04,27.1,22.8,24.6,1.8,12.4,15.26,Rio de Janeiro,Sudeste
2020-01-05,26.6,23.5,24.8,4.4,16.2,20.95,Rio de Janeiro,Sudeste
2020-01-06,31.6,23.1,26.7,0.4,11.9,25.47,Rio de Janeiro,Sudeste
2020-01-07,32.1,24.7,27.9,0.0,14.1,28.72,Rio de Janeiro,Sudeste
2020-01-08,30.0,25.3,27.5,0.6,13.0,27.06,Rio de Janeiro,Sudeste
2020-01-09,30.4,24.5,27.2,0.1,11.9,26.82,Rio de Janeiro,Sudeste
2020-01-10,30.4,25.2,27.6,0.1,15.1,27.43,Rio de Janeiro,Sudeste
2020-01-11,35.5,25.9,29.6,7.7,15.9,23.54,Rio de Janeiro,Sudeste
2020-01-12,30.8,25.8,27.7,7.7,18.3,23.5,Rio de Janeiro,Sudeste
2020-01-13,26.8,24.3,25.3,25.3,13.5,8.61,Rio de Janeiro,Sudeste
2020-01-14,27.5,24.3,25.5,0.5,19.1,24.35,Rio de Janeiro,Sudeste
2020-01-15,28.7,23.6,26.0,0.0,22.3,28.73,Rio de Janeiro,Sudeste
2020-01-16,34.8,24.4,28.7,0.0,16.6,27.91,Rio de Janeiro,Sudeste
2020-01-17,27.0,22.8,25.0,16.8,25.8,8.93,Rio de Janeiro,Sudeste
2020-01-18,25.4,22.8,24.2,2.1,16.1,17.21,Rio de Janeiro,Sudeste
2020-01-19,26.4,22.8,24.6,0.1,17.6,22.46,Rio de Janeiro,Sudeste
2020-01-20,26.4,23.1,24.5,2.3,14.3,22.71,Rio de Janeiro,Sudeste
2020-01-21,26.1,22.0,24.0,0.8,13.1,18.3,Rio de Janeiro,Sudeste
2020-01-22,27.0,22.2,24.8,0.4,16.3,27.74,Rio de Janeiro,Sudeste
2020-01-23,25.6,22.6,23.8,10.8,11.6,6.81,Rio de Janeiro,Sudeste
2020-01-24,26.0,22.3,23.9,10.5,17.3,18.91,Rio de Janeiro,Sudeste
2020-01-25,26.3,22.6,24.3,2.4,22.9,25.17,Rio de Janeiro,Sudeste
2020-01-26,27.8,21.3,24.6,0.0,15.1,30.08,Rio de Janeiro,Sudeste
2020-01-27,30.8,21.8,26.2,0.0,17.7,28.48,Rio de Janeiro,Sudeste
2020-01-28,31.7,23.5,26.9,0.0,18.1,27.97,Rio de Janeiro,Sudeste
2020-01-29,30.9,23.9,27.3,0.3,12.6,26.26,Rio de Janeiro,Sudeste
2020-01-30,34.7,25.5,29.0,3.4,16.1,23.44,Rio de Janeiro,Sudeste
2020-01-31,34.9,25.7,28.8,0.2,14.1,24.56,Rio de Janeiro,Sudeste
2020-02-01,31.7,25.4,27.9,2.1,16.1,26.01,Rio de Janeiro,Sudeste
