date,temp_max,temp_min,temp_mean,precip,wind_max,radiation,city,region
2016-01-01,30.3,25.5,27.3,0.1,24.4,25.41,Salvador,Nordeste
2016-01-02,30.7,24.8,27.2,0.0,26.0,28.78,Salvador,Nordeste
2016-01-03,31.9,25.6,28.0,0.0,24.2,27.69,Salvador,Nordeste
2016-01-04,30.1,26.4,27.8,0.5,23.9,19.56,Salvador,Nordeste
2016-01-05,27.2,24.2,25.7,19.4,16.6,13.04,Salvador,Nordeste
2016-01-06,25.9,24.5,25.1,38.1,13.9,8.87,Salvador,Nordeste
2016-01-07,27.0,24.3,25.8,14.5,18.3,15.9,Salvador,Nordeste
2016-01-08,29.3,25.1,27.0,0.7,17.0,21.91,Salvador,Nordeste
2016-01-09,27.4,24.8,26.0,5.9,18.3,18.53,Salvador,Nordeste
2016-01-10,27.8,24.3,25.9,4.8,19.6,23.04,Salvador,Nordeste
2016-01-11,28.1,24.5,26.3,3.4,16.9,19.6,Salvador,Nordeste
2016-01-12,28.8,25.4,27.1,0.0,18.0,22.51,Salvador,Nordeste
2016-01-13,29.6,26.0,27.4,0.0,16.4,20.27,Salvador,Nordeste
2016-01-14,28.7,26.1,27.1,1.0,18.8,17.15,Salvador,Nordeste
2016-01-15,30.3,25.6,27.3,0.0,19.9,25.11,Salvador,Nordeste
2016-01-16,29.8,26.0,27.5,0.0,18.6,19.4,Salvador,Nordeste
2016-01-17,28.7,26.1,27.0,1.6,16.0,11.51,Salvador,Nordeste
2016-01-18,28.5,25.3,26.6,3.4,18.4,21.21,Salvador,Nordeste
2016-01-19,29.5,25.0,26.9,0.0,21.1,25.12,Salvador,Nordeste
2016-01-20,28.7,25.6,27.0,0.1,18.7,18.27,Salvador,Nordeste
2016-01-21,26.3,24.6,25.3,12.8,15.3,5.81,Salvador,Nordeste
2016-01-22,27.2,24.3,25.3,31.9,21.0,5.36,Salvador,Nordeste
2016-01-23,28.4,24.3,26.2,10.0,15.5,16.92,Salvador,Nordeste
2016-01-24,28.5,25.8,26.9,0.9,20.3,13.86,Salvador,Nordeste
2016-01-25,28.9,25.8,27.1,1.4,19.8,22.91,Salvador,Nordeste
2016-01-26,29.0,25.8,27.0,0.0,18.8,22.69,Salvador,Nordeste
2016-01-27,29.4,25.8,27.0,0.0,18.5,21.29,Salvador,Nordeste
2016-01-28,28.9,25.1,26.7,0.9,21.8,25.71,Salvador,Nordeste
2016-01-29,28.4,25.6,26.7,3.4,23.8,24.84,Salvador,Nordeste
2016-01-30,28.1,25.1,26.8,1.6,23.7,26.13,Salvador,Nordeste
2016-01-31,28.3,25.6,26.8,0.3,19.4,22.0,Salvador,Nordeste
2016-02-01,28.3,24.9,26.7,0.0,18.5,27.26,Salvador,Nordeste
2016-02-02,27.6,25.8,26.6,0.5,18.6,21.32,Salvador,Nordeste
2016-02-03,27.3,24.5,26.0,3.3,14.0,20.8,Salvador,Nordeste
2016-02-04,28.8,25.7,27.1,0.0,18.4,25.13,Salvador,Nordeste
2016-02-05,28.1,24.9,26.8,0.1,20.4,25.88,Salvador,Nordeste
2016-02-06,28.7,26.0,27.2,0.6,20.3,23.91,Salvador,Nordeste
2016-02-07,28.8,25.8,27.0,0.0,21.2,25.35,Salvador,Nordeste
2016-02-08,27.9,25.6,26.8,0.5,18.6,23.31,Salvador,Nordeste
2016-02-09,28.8,25.5,27.0,0.2,18.2,26.59,Salvador,Nordeste
2016-02-10,28.8,25.0,26.9,0.8,16.3,24.02,Salvador,Nordeste
2016-02-11,30.0,25.8,27.7,0.0,19.0,25.69,Salvador,Nordeste
2016-02-12,29.9,25.4,27.4,0.0,20.5,27.19,Salvador,Nordeste
2016-02-13,29.7,26.2,27.6,0.0,18.8,22.12,Salvador,Nordeste
2016-02-14,29.3,25.7,27.3,0.3,18.9,22.69,Salvador,Nordeste
2016-02-15,30.0,26.2,27.6,0.1,20.9,26.19,Salvador,Nordeste
2016-02-16,29.5,26.2,27.6,0.0,19.2,26.65,Salvador,Nordeste
2016-02-17,29.4,25.8,27.4,0.7,20.8,26.85,Salvador,Nordeste
2016-02-18,28.4,24.5,26.5,1.3,20.9,24.9,Salvador,Nordeste
2016-02-19,27.5,24.5,26.2,7.6,18.2,18.81,Salvador,Nordeste
2016-02-20,29.3,26.2,27.5,0.0,19.8,26.0,Salvador,Nordeste
2016-02-21,29.4,25.7,27.4,0.9,22.2,24.31,Salvador,Nordeste
2016-02-22,28.7,25.9,27.2,0.9,22.9,22.53,Salvador,Nordeste
2016-02-23,28.4,24.6,26.6,1.9,18.7,24.39,Salvador,Nordeste
2016-02-24,28.5,25.3,26.9,1.1,21.7,22.67,Salvador,Nordeste
2016-02-25,29.3,26.1,27.5,1.5,18.9,26.05,Salvador,Nordeste
2016-02-26,30.0,26.2,27.7,0.0,19.2,25.89,Salvador,Nordeste
2016-02-27,29.7,25.7,27.4,0.4,21.5,24.85,Salvador,Nordeste
2016-02-28,28.8,25.1,27.1,0.4,19.4,23.8,Salvador,Nordeste
2016-02-29,29.7,25.1,27.6,0.0,18.9,24.61,Salvador,Nordeste
2016-03-01,29.9,26.4,27.7,0.5,19.6,24.6,Salvador,Nordeste
2016-03-02,28.4,26.1,27.1,2.6,21.1,22.04,Salvador,Nordeste
2016-03-03,28.8,25.3,27.1,1.5,16.6,22.36,Salvador,Nordeste
2016-03-04,29.7,26.3,27.8,0.5,20.0,23.25,Salvador,Nordeste
