date,temp_max,temp_min,temp_mean,precip,wind_max,radiation,city,region
2004-01-01,20.9,16.3,19.1,17.7,22.7,5.98,São Paulo,Sudeste
2004-01-02,18.6,15.6,16.7,0.0,22.4,11.7,São Paulo,Sudeste
2004-01-03,19.6,15.5,17.1,0.2,20.3,10.54,São Paulo,Sudeste
2004-01-04,20.9,15.5,18.1,0.6,17.6,9.55,São Paulo,Sudeste
2004-01-05,24.0,16.2,19.7,0.6,17.7,21.65,São Paulo,Sudeste
2004-01-06,26.5,17.0,21.3,1.0,12.3,24.27,São Paulo,Sudeste
2004-01-07,25.9,19.5,21.8,11.9,9.0,16.0,São Paulo,Sudeste
2004-01-08,23.6,18.4,20.9,19.9,15.1,11.28,São Paulo,Sudeste
2004-01-09,25.5,19.1,21.0,7.1,17.8,13.15,São Paulo,Sudeste
2004-01-10,25.3,17.8,21.2,1.3,14.2,21.33,São Paulo,Sudeste
2004-01-11,28.3,16.2,22.2,0.8,14.0,25.83,São Paulo,Sudeste
2004-01-12,26.5,19.6,21.8,31.4,19.1,20.04,São Paulo,Sudeste
2004-01-13,23.3,18.2,20.4,0.3,17.2,16.55,São Paulo,Sudeste
2004-01-14,25.6,17.2,21.3,4.3,12.3,21.45,São Paulo,Sudeste
2004-01-15,25.6,19.3,22.0,19.1,14.5,22.29,São Paulo,Sudeste
2004-01-16,23.5,17.7,20.5,1.0,23.3,22.02,São Paulo,Sudeste
2004-01-17,22.8,16.4,19.1,0.0,20.1,29.15,São Paulo,Sudeste
2004-01-18,22.0,14.9,18.2,0.0,18.3,28.68,São Paulo,Sudeste
2004-01-19,21.8,13.5,17.8,0.3,19.4,19.17,São Paulo,Sudeste
2004-01-20,24.1,15.0,19.5,0.4,15.8,21.57,São Paulo,Sudeste
2004-01-21,26.2,17.6,21.0,12.2,11.1,23.51,São Paulo,Sudeste
2004-01-22,24.8,18.7,21.0,8.6,13.6,17.52,São Paulo,Sudeste
2004-01-23,24.1,19.4,21.6,8.7,18.0,17.27,São Paulo,Sudeste
2004-01-24,26.8,19.3,22.7,3.4,14.2,17.14,São Paulo,Sudeste
2004-01-25,29.3,21.1,23.9,5.7,19.9,19.19,São Paulo,Sudeste
2004-01-26,24.2,20.6,21.8,29.8,15.6,6.15,São Paulo,Sudeste
2004-01-27,23.3,20.4,21.5,33.8,15.6,7.21,São Paulo,Sudeste
2004-01-28,24.5,20.2,22.2,12.5,12.9,8.12,São Paulo,Sudeste
2004-01-29,27.3,19.5,23.2,0.4,11.9,18.28,São Paulo,Sudeste
2004-01-30,29.1,19.0,23.7,3.7,13.0,26.02,São Paulo,Sudeste
2004-01-31,28.6,19.1,23.2,7.2,9.7,24.16,São Paulo,Sudeste
2004-02-01,28.7,19.7,23.5,4.7,11.3,23.79,São Paulo,Sudeste
2004-02-02,28.8,19.5,23.6,2.2,12.8,25.46,São Paulo,Sudeste
2004-02-03,27.0,20.1,22.9,1.0,15.7,20.35,São Paulo,Sudeste
2004-02-04,29.0,19.4,23.7,3.1,14.3,24.7,São Paulo,Sudeste
2004-02-05,29.0,20.1,24.3,4.2,16.2,24.74,São Paulo,Sudeste
2004-02-06,22.2,17.9,20.8,19.9,22.0,6.52,São Paulo,Sudeste
2004-02-07,21.3,16.4,18.7,0.5,23.8,17.06,São Paulo,Sudeste
2004-02-08,22.9,14.0,18.2,0.0,21.9,27.54,São Paulo,Sudeste
2004-02-09,22.1,15.8,18.6,0.4,22.8,21.35,São Paulo,Sudeste
2004-02-10,23.8,15.2,19.1,0.0,19.9,24.78,São Paulo,Sudeste
2004-02-11,23.7,16.2,19.4,2.4,18.3,21.35,São Paulo,Sudeste
2004-02-12,24.1,17.6,20.2,3.4,16.8,18.2,São Paulo,Sudeste
2004-02-13,26.5,18.2,21.2,3.0,11.2,23.14,São Paulo,Sudeste
2004-02-14,26.1,18.3,21.2,13.1,19.0,14.56,São Paulo,Sudeste
2004-02-15,25.1,19.7,21.3,6.4,25.0,10.57,São Paulo,Sudeste
2004-02-16,23.4,18.3,20.8,2.2,15.0,16.36,São Paulo,Sudeste
2004-02-17,26.2,18.1,21.7,0.3,13.1,23.17,São Paulo,Sudeste
2004-02-18,28.3,17.4,23.1,0.5,10.2,25.46,São Paulo,Sudeste
2004-02-19,27.4,19.3,22.7,0.3,14.5,24.41,São Paulo,Sudeste
2004-02-20,24.9,18.8,21.1,3.9,20.3,18.95,São Paulo,Sudeste
2004-02-21,22.9,19.6,20.6,9.9,18.8,10.41,São Paulo,Sudeste
2004-02-22,24.5,19.6,20.8,23.1,16.7,12.17,São Paulo,Sudeste
2004-02-23,19.8,17.6,18.6,36.6,15.3,4.89,São Paulo,Sudeste
2004-02-24,23.2,16.9,19.2,11.8,14.6,16.64,São Paulo,Sudeste
2004-02-25,20.9,16.9,18.6,10.5,13.3,8.55,São Paulo,Sudeste
2004-02-26,22.2,16.9,19.4,2.5,15.7,13.95,São Paulo,Sudeste
2004-02-27,26.6,16.7,21.1,1.8,15.2,24.3,São Paulo,Sudeste
2004-02-28,24.1,16.4,19.3,10.2,13.6,17.05,São Paulo,Sudeste
2004-02-29,25.2,16.2,20.3,0.9,12.6,23.76,São Paulo,Sudeste
2004-03-01,26.7,18.2,21.3,2.4,10.9,21.86,São Paulo,Sudeste
2004-03-02,28.7,19.1,23.6,0.3,12.1,24.32,São Paulo,Sudeste
2004-03-03,29.4,19.7,23.5,3.5,14.4,21.49,São Paulo,Sudeste
2004-03-04,20.4,18.2,19.3,37.7,23.3,4.63,São Paulo,Sudeste
2004-03-05,21.7,18.2,19.4,12.0,19.3,6.81,São Paulo,Sudeste
2004-03-06,23.6,18.0,20.4,13.9,10.2,9.59,São Paulo,Sudeste
2004-03-07,27.0,18.0,21.8,6.4,18.3,20.15,São Paulo,Sudeste
2004-03-08,27.7,17.8,22.9,0.2,9.5,23.41,São Paulo,Sudeste
2004-03-09,29.2,19.8,24.2,0.0,12.5,23.43,São Paulo,Sudeste
2004-03-10,27.5,20.4,23.0,8.5,12.2,18.96,São Paulo,Sudeste
2004-03-11,24.0,18.9,20.8,0.4,17.0,13.89,São Paulo,Sudeste
2004-03-12,23.8,17.7,19.7,0.6,17.8,15.51,São Paulo,Sudeste
2004-03-13,24.5,16.9,20.4,0.2,15.2,19.43,São Paulo,Sudeste
2004-03-14,24.1,18.6,21.0,6.9,14.8,9.32,São Paulo,Sudeste
2004-03-15,25.5,19.1,21.4,1.3,18.1,13.72,São Paulo,Sudeste
2004-03-16,24.1,16.9,19.8,1.1,14.8,19.16,São Paulo,Sudeste
2004-03-17,23.7,17.1,19.6,0.6,13.4,21.73,São Paulo,Sudeste
2004-03-18,24.5,16.7,19.9,0.6,12.5,23.05,São Paulo,Sudeste
2004-03-19,26.0,17.5,20.7,17.2,10.0,18.22,São Paulo,Sudeste
2004-03-20,22.7,17.6,19.3,6.1,16.3,10.55,São Paulo,Sudeste
2004-03-21,21.5,16.2,18.3,0.5,16.6,15.13,São Paulo,Sudeste
2004-03-22,22.2,15.5,18.0,0.0,17.4,22.76,São Paulo,Sudeste
2004-03-23,20.9,15.7,17.7,1.4,17.7,16.55,São Paulo,Sudeste
2004-03-24,22.0,14.9,17.5,0.0,17.2,18.82,São Paulo,Sudeste
2004-03-25,23.1,13.9,17.5,0.0,17.7,21.51,São Paulo,Sudeste
2004-03-26,23.8,13.6,18.2,2.2,11.4,20.19,São Paulo,Sudeste
2004-03-27,23.7,16.7,19.4,4.1,8.2,18.28,São Paulo,Sudeste
2004-03-28,25.6,16.3,20.6,0.3,10.7,20.31,São Paulo,Sudeste
2004-03-29,25.2,17.7,20.4,3.7,10.8,18.72,São Paulo,Sudeste
2004-03-30,23.5,17.7,19.5,9.5,10.8,17.65,São Paulo,Sudeste
2004-03-31,23.6,17.2,19.5,0.3,14.5,19.57,São Paulo,Sudeste
2004-04-01,24.9,16.8,20.0,0.0,13.0,19.74,São Paulo,Sudeste
2004-04-02,26.8,17.3,21.1,0.0,9.7,20.54,São Paulo,Sudeste
2004-04-03,27.7,18.4,22.3,0.0,13.2,20.36,São Paulo,Sudeste
2004-04-04,25.9,19.2,21.6,2.5,8.3,12.15,São Paulo,Sudeste
2004-04-05,25.5,17.9,20.8,2.8,11.8,16.96,São Paulo,Sudeste
2004-04-06,24.9,17.7,20.8,6.2,13.6,15.67,São Paulo,Sudeste
2004-04-07,26.0,18.4,21.3,1.5,20.9,15.15,São Paulo,Sudeste
2004-04-08,25.9,17.1,21.1,0.0,13.4,19.09,São Paulo,Sudeste
2004-04-09,25.1,18.0,20.8,0.0,15.8,19.14,São Paulo,Sudeste
2004-04-10,22.7,18.3,19.7,1.8,16.6,15.71,São Paulo,Sudeste
2004-04-11,23.2,18.0,19.9,4.0,13.2,14.76,São Paulo,Sudeste
2004-04-12,24.5,18.0,20.2,1.1,15.2,16.3,São Paulo,Sudeste
2004-04-13,24.7,18.5,20.7,1.1,12.5,14.24,São Paulo,Sudeste
2004-04-14,23.3,18.9,20.6,6.2,9.5,5.36,São Paulo,Sudeste
2004-04-15,25.6,18.6,21.0,17.4,13.0,12.41,São Paulo,Sudeste
2004-04-16,25.8,17.8,21.3,4.6,17.6,14.72,São Paulo,Sudeste
2004-04-17,27.0,18.5,22.2,0.0,15.6,18.32,São Paulo,Sudeste
2004-04-18,26.3,19.0,21.8,2.0,7.3,16.52,São Paulo,Sudeste
2004-04-19,27.2,18.1,22.6,0.2,22.0,17.1,São Paulo,Sudeste
2004-04-20,21.0,18.2,19.7,2.2,17.2,7.37,São Paulo,Sudeste
2004-04-21,22.8,18.0,20.0,1.2,18.4,11.52,São Paulo,Sudeste
2004-04-22,27.0,19.1,22.5,0.0,14.0,17.23,São Paulo,Sudeste
2004-04-23,26.9,18.3,22.3,0.0,20.9,19.32,São Paulo,Sudeste
2004-04-24,25.1,18.7,21.2,1.1,11.9,14.29,São Paulo,Sudeste
2004-04-25,19.0,15.2,17.3,5.1,19.2,6.31,São Paulo,Sudeste
2004-04-26,19.2,15.2,16.7,0.0,18.8,8.96,São Paulo,Sudeste
2004-04-27,19.8,15.2,17.0,0.7,13.4,8.01,São Paulo,Sudeste
2004-04-28,21.2,15.0,17.5,0.0,16.6,13.63,São Paulo,Sudeste
2004-04-29,22.9,11.9,17.3,0.0,12.3,19.52,São Paulo,Sudeste
